,cons,age,age_sq,income,education,kids,LFP
700,1.0,51,2601,21014,12,1,0
701,1.0,51,2601,10876,10,1,0
702,1.0,43,1849,27850,13,2,0
703,1.0,53,2809,9560,12,0,0
704,1.0,34,1156,30300,11,2,0
705,1.0,31,961,7720,8,2,0
706,1.0,56,3136,10550,12,0,0
707,1.0,42,1764,24106,16,1,0
708,1.0,32,1024,22995,12,2,0
709,1.0,35,1225,6000,12,4,0
710,1.0,30,900,24350,12,2,0
711,1.0,51,2601,7608,10,0,0
712,1.0,47,2209,28200,12,3,0
713,1.0,54,2916,16150,12,1,0
714,1.0,31,961,51200,15,3,0
715,1.0,47,2209,12646,10,0,0
716,1.0,47,2209,19000,14,3,0
717,1.0,40,1600,19000,12,3,0
718,1.0,48,2304,14400,8,0,0
719,1.0,34,1156,7232,8,7,0
720,1.0,38,1444,21943,12,3,0
721,1.0,32,1024,47500,12,4,0
722,1.0,48,2304,28900,16,1,0
723,1.0,41,1681,12400,12,2,0
724,1.0,49,2401,6531,5,2,0
725,1.0,59,3481,22422,8,0,0
726,1.0,58,3364,22200,13,0,0
727,1.0,41,1681,77000,12,3,0
728,1.0,45,2025,88000,12,2,0
729,1.0,30,900,26040,14,2,0
730,1.0,41,1681,63500,12,1,0
731,1.0,30,900,12100,12,2,0
732,1.0,53,2809,17505,12,1,0
733,1.0,31,961,18000,12,0,0
734,1.0,43,1849,28069,14,2,0
735,1.0,31,961,14000,12,2,0
736,1.0,51,2601,8117,12,0,0
737,1.0,43,1849,11895,9,0,0
738,1.0,31,961,45250,14,3,0
739,1.0,48,2304,31106,11,0,0
740,1.0,31,961,4000,12,2,0
741,1.0,44,1936,40500,12,1,0
742,1.0,48,2304,21620,11,1,0
743,1.0,53,2809,23426,12,1,0
744,1.0,42,1764,26000,10,3,0
745,1.0,39,1521,7840,12,8,0
746,1.0,32,1024,6800,10,3,0
747,1.0,36,1296,5330,12,2,0
748,1.0,40,1600,28200,13,2,0
749,1.0,31,961,10000,12,5,0
750,1.0,43,1849,9952,12,0,0
751,1.0,60,3600,24984,12,0,0
752,1.0,39,1521,28363,9,3,0
